kernel,lambd,iters,testerror,digittraintime,roundtime
poly exp=1,1e-08,743,0.17771797631862216,0,3
poly exp=1,1e-07,743,0.16727664155005384,0,3
poly exp=1,1e-06,743,0.18514531754574812,0,3
poly exp=1,1e-05,743,0.1805166846071044,0,3
poly exp=1,1e-08,3718,0.12152852529601724,1,19
poly exp=1,1e-07,3718,0.13121636167922496,1,19
poly exp=1,1e-06,3718,0.11980624327233583,1,19
poly exp=1,1e-05,3718,0.10893433799784716,1,19
poly exp=1,1e-08,7436,0.11259418729817008,3,52
poly exp=1,1e-07,7436,0.10871905274488698,4,58
poly exp=1,1e-06,7436,0.10753498385360602,4,56
poly exp=1,1e-05,7436,0.09677072120559742,3,52
poly exp=1,1e-08,14872,0.09494079655543596,12,155
poly exp=1,1e-07,14872,0.08837459634015069,11,142
poly exp=1,1e-06,14872,0.09332615715823465,10,131
poly exp=1,1e-05,14872,0.10032292787944024,11,134
poly exp=3,1e-08,743,0.10333692142088266,0,2
poly exp=3,1e-07,743,0.10333692142088266,0,2
poly exp=3,1e-06,743,0.11270182992465017,0,2
poly exp=3,1e-05,743,0.1109795479009688,0,2
poly exp=3,1e-08,3718,0.059095801937567284,0,12
poly exp=3,1e-07,3718,0.06329386437029064,0,12
poly exp=3,1e-06,3718,0.0620021528525296,0,12
poly exp=3,1e-05,3718,0.05844994617868676,0,12
poly exp=3,1e-08,7436,0.049300322927879434,2,28
poly exp=3,1e-07,7436,0.049946178686759955,2,28
poly exp=3,1e-06,7436,0.050699677072120565,2,28
poly exp=3,1e-05,7436,0.04520990312163616,2,29
poly exp=3,1e-08,14872,0.04047362755651238,6,70
poly exp=3,1e-07,14872,0.039612486544671685,6,70
poly exp=3,1e-06,14872,0.03885898815931109,6,70
poly exp=3,1e-05,14872,0.03595263724434876,6,72
poly exp=7,1e-08,743,0.16835306781485468,0,3
poly exp=7,1e-07,743,0.14144241119483317,0,3
poly exp=7,1e-06,743,0.1401506996770721,0,2
poly exp=7,1e-05,743,0.17502691065662002,0,3
poly exp=7,1e-08,3718,0.07707212055974166,0,14
poly exp=7,1e-07,3718,0.08040904198062433,0,14
poly exp=7,1e-06,3718,0.07502691065662002,0,14
poly exp=7,1e-05,3718,0.0821313240043057,0,14
poly exp=7,1e-08,7436,0.058127018299246505,2,32
poly exp=7,1e-07,7436,0.06630785791173305,2,33
poly exp=7,1e-06,7436,0.06372443487621098,2,32
poly exp=7,1e-05,7436,0.05640473627556512,2,33
poly exp=7,1e-08,14872,0.04370290635091496,6,77
poly exp=7,1e-07,14872,0.044779332615715824,6,78
poly exp=7,1e-06,14872,0.044564047362755654,6,76
poly exp=7,1e-05,14872,0.04477933261571583,6,78
gauss sigma=2,1e-08,743,0.10914962325080732,0,6
gauss sigma=2,1e-07,743,0.12152852529601721,0,6
gauss sigma=2,1e-06,743,0.11324004305705057,0,6
gauss sigma=2,1e-05,743,0.08966630785791174,0,9
gauss sigma=2,1e-08,3718,0.05920344456404736,1,27
gauss sigma=2,1e-07,3718,0.05339074273412271,1,28
gauss sigma=2,1e-06,3718,0.05715823466092572,1,32
gauss sigma=2,1e-05,3718,0.038428417653390744,3,59
gauss sigma=2,1e-08,7436,0.04391819160387513,4,61
gauss sigma=2,1e-07,7436,0.043487621097954794,4,63
gauss sigma=2,1e-06,7436,0.039612486544671685,5,74
gauss sigma=2,1e-05,7436,0.027771797631862216,10,155
gauss sigma=2,1e-08,14872,0.03584499461786868,12,141
gauss sigma=2,1e-07,14872,0.03379978471474704,12,145
gauss sigma=2,1e-06,14872,0.030678148546824546,15,186
gauss sigma=2,1e-05,14872,0.023143164693218515,36,443
